Id,CourseType,Name,Description,Notes,ExternalId,AccessDate,ExpireType,ExpireDuration,ExpiryDate,ActiveStatus,TagIds,ResourceIds,EditorIds,Prices,CompetencyDefinitionIds,PrerequisiteCourseIds,PostEnrollmentCourseIds,AllowCourseEvaluation,CategoryId,CertificateUrl,Audience,Goals,Vendor,CompanyCost,LearnerCost,CompanyTime,LearnerTime,DateEdited,DateAdded,Category,deeplink
bff4f058-1441-4eaf-829b-28d721f9c898,Curriculum,Associate Director Path (CTM),This curriculum includes a blend of technical and soft skills courses specifically curated for this level and function.,None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,19e726d6-22aa-4d51-afd0-c29ad1c1e051,None,ClinOps,None,None,None,None,None,None,2023-07-22T18:14:48.11,2018-10-24T05:04:07.797,Clinical Trial Management ,https://gilead.myabsorb.com/#/Curriculum/bff4f058-1441-4eaf-829b-28d721f9c898
685d9cb3-79e3-4edb-9218-3b708abc8ab3,OnlineCourse,Bladder Cancer,"This course includes information on the cause, diagnosis, and treatment of bladder cancer.",None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,e8f23491-772d-46bf-8419-9a3964c0ec82,None,All Departments,None,Syneos,None,None,None,None,2023-07-10T18:18:27.647,2023-03-18T23:23:45.96,Oncology,https://gilead.myabsorb.com/#/online-courses/685d9cb3-79e3-4edb-9218-3b708abc8ab3
c55e0da4-6e89-48ee-aa24-4d54f11088e4,OnlineCourse,Breast Cancer,"This course includes information on the cause, diagnosis, and treatment of breast cancer.",None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,e8f23491-772d-46bf-8419-9a3964c0ec82,None,All Departments,None,Syneos,None,None,None,None,2023-07-22T18:16:46.61,2023-03-18T23:38:06.447,Oncology,https://gilead.myabsorb.com/#/online-courses/c55e0da4-6e89-48ee-aa24-4d54f11088e4
fdd2251d-9153-4bca-a76e-1bb3a74ed8eb,OnlineCourse,CAR T-Cell Therapy,"This course describes key concepts related to the use of chimeric antigen receptor (CAR) T-cell therapy for cancer treatment, including the role of T cells in the anticancer immune response and the various types of adoptive cell transfer therapy.",Lesson created by Syneos.,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,['46a5bf6c-918a-4a76-9d71-97cd4407ec14'],[],[],[],[],[],[],False,e8f23491-772d-46bf-8419-9a3964c0ec82,None,All Departments,None,Syneos,None,None,None,None,2023-07-22T18:20:30.55,2023-01-13T18:00:37.147,Oncology,https://gilead.myabsorb.com/#/online-courses/fdd2251d-9153-4bca-a76e-1bb3a74ed8eb
c10aba19-995f-4f36-a2ff-e92fa208503b,Curriculum,Clin Records Assistant - Associate II Path  Levels 24-26 ,This curriculum includes a blend of technical and soft skills courses specifically curated for this level and function.,None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,5c929c16-1c71-435a-8f22-784b061bda03,None,ClinOps,None,None,None,None,None,None,2023-07-22T18:24:11.077,2018-10-21T21:35:37.377,Clinical Records ,https://gilead.myabsorb.com/#/Curriculum/c10aba19-995f-4f36-a2ff-e92fa208503b
df23f3ed-53e5-49ea-bc37-9620a06e21c5,Curriculum,Clin Records Assoc. III/ Manager Path  Level 27-28,This curriculum includes a blend of technical and soft skills courses specifically curated for this level and function.,None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,5c929c16-1c71-435a-8f22-784b061bda03,None,ClinOps,None,None,None,None,None,None,2023-07-22T18:25:35.277,2018-10-21T21:36:46.43,Clinical Records ,https://gilead.myabsorb.com/#/Curriculum/df23f3ed-53e5-49ea-bc37-9620a06e21c5
ca1cbb47-41da-46bc-a732-8e7b762d529e,Curriculum,Clin Records People Leader Path  Level 29+,This curriculum includes a blend of technical and soft skills courses specifically curated for this level and function.,None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,5c929c16-1c71-435a-8f22-784b061bda03,None,ClinOps,None,None,None,None,None,None,2023-07-22T18:26:43.8,2018-10-21T21:38:23.773,Clinical Records ,https://gilead.myabsorb.com/#/Curriculum/ca1cbb47-41da-46bc-a732-8e7b762d529e
2c4fda86-285d-410c-9c01-644e6bd59091,Curriculum,Clinical Operations Onboarding,"This curriculum includes a blend of courses specifically curated to help you get started at Gilead. You can navigate freely through this curriculum to take courses at your own pace, and according to your specific onboarding plan. Consult with your manager to identify the specific priorities and focus areas for you as an individual.",None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,2d071251-ee19-455c-9f90-bde248fe57fe,None,ClinOps,LastReview=2023|NextReview=|ContentExpert=Peter Tiziani|Commnets=,None,None,None,None,None,2023-07-22T23:01:43.43,2022-03-07T20:28:50.37,Onboarding,https://gilead.myabsorb.com/#/Curriculum/2c4fda86-285d-410c-9c01-644e6bd59091
983f20a7-24bb-48b1-9b90-3ed685ee2175,Curriculum,Clinical Operations Onboarding (Contract Employees),"This curriculum includes a blend of courses specifically curated to help you get started at Gilead. You can navigate freely through this curriculum to take courses at your own pace, and according to your specific onboarding plan. Consult with your manager to identify the specific priorities and focus areas for you as an individual.",None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,2d071251-ee19-455c-9f90-bde248fe57fe,None,ClinOps,LastReview=2023|NextReview=|ContentExpert=Peter Tiziani|Commnets=,None,None,None,None,None,2023-07-22T23:05:35.597,2023-03-15T15:44:07.163,Onboarding,https://gilead.myabsorb.com/#/Curriculum/983f20a7-24bb-48b1-9b90-3ed685ee2175
0b0c24e7-0b2e-4865-9f03-2cb23e860328,Curriculum,Clinical Operations Onboarding (Contractor),"This curriculum includes a blend of courses specifically curated to help you get started at Gilead. You can navigate freely through this curriculum to take courses at your own pace, and according to your specific onboarding plan. Consult with your manager to identify the specific priorities and focus areas for you as an individual.",None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],"['bd243dd0-ac69-45bf-8357-066a08915192', '8471a1b8-8959-4b6e-90bd-4256476b78fa', 'effb45df-f947-4381-9a6e-039820806c58', '22c071e1-5f32-44ca-9f10-de0fc01c9fed', '6d0099d6-ae94-477c-a8ac-deeb4d239334', '1725a2c2-9d9a-43f6-91a9-4b2f0bf05841', '1d140f7e-e316-41fb-8e09-7c6afdf654fa', '6735f046-24b3-4fdb-b5d0-0bb9120c2d78', '1d31ea35-b9f5-4948-8500-e60aa374d8b8', '85cd03ec-6935-4a11-89b3-ff29351d1b8f', '0cd49b0a-2763-43c3-b1b8-5086eaa90ea6', '103c7325-1860-4a81-b3b3-5cd82298e321', '55fff5c9-7ffa-4fec-9100-b4a3b81043d9', '2de1b804-b4d6-4689-91c2-c3d0f64a8d4f']",False,2d071251-ee19-455c-9f90-bde248fe57fe,None,ClinOps,None,None,None,None,None,None,2023-03-20T23:48:10.25,2018-08-22T22:38:17.487,Onboarding,https://gilead.myabsorb.com/#/Curriculum/0b0c24e7-0b2e-4865-9f03-2cb23e860328
0a2bbf02-d015-4eb9-9e87-e2608f40356f,Curriculum,Clinical Operations Onboarding (FTE),"This curriculum includes a blend of courses specifically curated to help you get started at Gilead. You can navigate freely through this curriculum to take courses at your own pace, and according to your specific onboarding plan. Consult with your manager to identify the specific priorities and focus areas for you as an individual.",None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],"['effb45df-f947-4381-9a6e-039820806c58', '22c071e1-5f32-44ca-9f10-de0fc01c9fed', '6d0099d6-ae94-477c-a8ac-deeb4d239334', '1725a2c2-9d9a-43f6-91a9-4b2f0bf05841', '1d140f7e-e316-41fb-8e09-7c6afdf654fa', '9608e40a-9501-45d5-b45c-3a94a5645ef8', '0cd49b0a-2763-43c3-b1b8-5086eaa90ea6', '103c7325-1860-4a81-b3b3-5cd82298e321', '55fff5c9-7ffa-4fec-9100-b4a3b81043d9', '2de1b804-b4d6-4689-91c2-c3d0f64a8d4f', 'bd243dd0-ac69-45bf-8357-066a08915192', '8471a1b8-8959-4b6e-90bd-4256476b78fa', '6735f046-24b3-4fdb-b5d0-0bb9120c2d78', '1d31ea35-b9f5-4948-8500-e60aa374d8b8', 'a7be4d63-78af-4312-986c-e9118e20e618', '85cd03ec-6935-4a11-89b3-ff29351d1b8f']",False,2d071251-ee19-455c-9f90-bde248fe57fe,None,ClinOps,None,None,None,None,None,None,2023-03-20T23:47:49.54,2018-08-22T22:37:07.59,Onboarding,https://gilead.myabsorb.com/#/Curriculum/0a2bbf02-d015-4eb9-9e87-e2608f40356f
eb3313c9-58dc-4b89-a88f-73ff0d826775,OnlineCourse,Clinical Operations Onboarding SharePoint Page,Onboarding SharePoint site for Clinical Operations.,None,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,[],[],[],[],[],[],[],False,2d071251-ee19-455c-9f90-bde248fe57fe,None,ClinOps,LastReview=2023|NextReview=|ContentExpert=Peter Tiziani|Commnets=,None,None,None,None,None,2023-07-22T18:27:51.06,2023-03-22T21:12:42.61,Onboarding,https://gilead.myabsorb.com/#/online-courses/eb3313c9-58dc-4b89-a88f-73ff0d826775
effb45df-f947-4381-9a6e-039820806c58,OnlineCourse,Clinical Operations Study Lifecycle Overview ,"This training introduces Clinical Operations New Hires to the study lifecycle, and provides information about roles and collaborations within Clinical Operations, as well as trial management activities across the study lifecycle. It will take approximately 20 minutes to complete.",020422 Hallie Sinor Instructional Designer,None,None,0,"{'Years': 0, 'Months': 0, 'Days': 0, 'Hours': 0}",None,0,['b283c10c-8178-45a4-9f0d-cf39b751b186'],[],[],[],[],[],[],False,2d071251-ee19-455c-9f90-bde248fe57fe,None,ClinOps Development,LastReview=2022|NextReview=|ContentExpert=Maryanne Lenoci|Commnets=,None,None,None,None,None,2023-07-14T22:51:26.58,2018-08-22T04:56:43.767,Onboarding,https://gilead.myabsorb.com/#/online-courses/effb45df-f947-4381-9a6e-039820806c58
